computer_id,learning_rate,batch_size,epochs,dropout,optimizer_type,run_id,train_losses,val_losses,train_accuracies,val_accuracies,timings,TP,TN,FP,FN,test_acc
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,adam,35318294-1795-4262-a487-ef56528331b2,0.0275,0.613,99.1232,86.6379,100.2011,109,109,12,9,86.4516
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.2,sgd,cf22b7fe-97ff-4210-bf65-bb0d56ea2269,0.1322,0.5405,95.0162,84.2672,93.892,93,93,28,11,82.1505
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.2,adam,91918fc3-dc20-46fb-a9f5-5fe143043fe5,0.0004,0.842,100.0,89.2241,102.4175,110,110,18,13,88.172
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,sgd,74b2f735-63e7-4252-8946-7665278d63e3,0.1563,0.472,95.0162,87.7155,92.9322,100,100,16,11,85.1613
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,0.0013,0.7032,100.0,85.7759,92.915,105,105,11,19,88.3871
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,adam,483918d7-c826-4520-9069-c6e733d68a80,1.3516,1.3522,28.7494,27.3707,97.3586,142,142,0,125,30.5376
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,sgd,f08d4fc6-9d3b-4573-9214-ed5ce382ca6b,0.0235,0.5903,99.2617,85.1293,92.1845,111,111,13,7,87.957
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,adam,47ac6a2f-3197-4272-893b-6f7134127948,1.3509,1.3691,29.3493,28.8793,98.121,0,0,143,0,30.5376
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.0002,32,20,0.5,adam,367f3729-4125-4662-9c18-b2951162b2e7,0.0137,0.6598,99.7231,88.3621,97.5017,113,113,15,13,86.6667
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.0002,32,20,0.5,sgd,2fdaaa34-1670-41ec-aad8-97056253ada1,0.651,0.7374,75.773,72.4138,94.6548,103,103,15,29,71.828
